Sort,Species,Date,Location,Notes
172,American Bittern,6/9/1994,"Landing Lake Rd, Churchill, Manitoba",""
173,Least Bittern,7/26/1992,"Bombay Hook NWR",""
174,Great Blue Heron,1/1/1987,"Everywhere",""
175,Great Egret,6/4/1984,"Dallas, TX",""
176,Snowy Egret,6/6/1986,"Fairfield, CT",""
177,Little Blue Heron,10/11/1988,"Assateague NWR",""
178,Tricolored Heron,5/5/1991,"Brigantine NWR",""
179,Reddish Egret,12/28/1994,"Laguna Atascosa",""
180,Cattle Egret,6/4/1984,"Dallas, TX",""
181,Green Heron,5/27/1990,"Blackwater NWR",""
182,Black-crowned Night-Heron,8/12/1990,"Bombay Hook NWR",""
183,Yellow-crowned Night-Heron,7/15/1990,"Robert E. Lee Park",""
184,White Ibis,4/27/1992,"J. N. ""Ding"" Darling NWR",""
185,Glossy Ibis,9/21/1986,"Orlando, FL",""
186,Roseate Spoonbill,4/27/1992,"J. N. ""Ding"" Darling NWR",""
187,Black Vulture,10/6/1991,"Washington Monument State",""
188,Turkey Vulture,1/5/1992,"Route 50 East",""
189,California Condor,4/15/2019,"Marble Canyon, AZ past the Navajo Bridge",""
190,Osprey,8/14/1972,"Maine",""
191,White-tailed Kite,12/28/1994,"Laguna Atascosa",""
192,Swallow-tailed Kite,4/28/1992,"Route 846 near Corkscrew Swamp",""
193,Golden Eagle,11/27/1993,"Town Hill, MD",""
194,Northern Harrier,9/2/1989,"Blackwater NWR",""
195,Sharp-shinned Hawk,10/7/1990,"Hawk Mountain",""
196,Cooper's Hawk,12/22/1991,"Near RESCO (Baltimore, MD)",""
197,Bald Eagle,5/14/1989,"Blackwater NWR",""
198,Harris's Hawk,12/27/1994,"Kleberg Park near Kingsville, TX",""
199,White-tailed Hawk,12/27/1994,"Road to Rio Grande",""
200,Gray Hawk,4/21/2019,"Las Cienegas National Conservation Area, AZ",""
201,Red-shouldered Hawk,5/14/1984,"Shonin at Laurel, MD",""
202,Broad-winged Hawk,10/7/1990,"Hawk Mountain",""
203,Swainson's Hawk,5/9/1993,"Rocky Mountain Arsenal area, CO",""
204,Zone-tailed Hawk,4/19/2019,"Mount Lemmon, Tucson, AZ",""
205,Red-tailed Hawk,5/22/1988,"West Exeter, NY",""
206,Rough-legged Hawk,1/11/1991,"Bombay Hook NWR",""
207,Ferruginous Hawk,12/29/1994,"Bentsen Rio State Park, TX",""
208,Barn Owl,5/29/1993,"Brigantine NWR",""
209,Western Screech-Owl,4/21/2019,"Karen's Patio, Tucson, AZ",""
210,Eastern Screech-Owl,10/21/1991,"Campground, West Cape May, NJ",""
211,Great Horned Owl,10/21/1991,"Campground, West Cape May, NJ",""
212,Snowy Owl,3/7/1993,"Cape Henlopen State Park, DE",""
213,Northern Hawk Owl,6/5/1994,"Twin Lakes, Churchill, Manitoba",""
214,Burrowing Owl,5/10/1993,"Rocky Mountain Arsenal area, CO",""
215,Barred Owl,7/15/1972,"Rte 310 near Ross",""
216,Great Gray Owl,6/10/1994,"Springfield, VA",""
217,Short-eared Owl,5/9/1993,"Rocky Mountain Arsenal area, CO",""
218,Ringed Kingfisher,12/29/1994,"Bentsen Rio State Park",""
