common_name
Lesser Swallow-tailed Swift
Great Swallow-tailed Swift
Antillean Palm-Swift
White-necked Jacobin
White-tipped Sicklebill
Bronzy Hermit
Rufous-breasted Hermit
Band-tailed Barbthroat
Green Hermit
Mexican Hermit
Long-billed Hermit
Pale-bellied Hermit
Stripe-throated Hermit
Green-fronted Lancebill
Brown Violetear
Mexican Violetear
Lesser Violetear
Tooth-billed Hummingbird
Purple-crowned Fairy
Ruby-topaz Hummingbird
Green-breasted Mango
Black-throated Mango
Veraguan Mango
Antillean Mango
Green Mango
Jamaican Mango
Purple-throated Carib
Green-throated Carib
Green Thorntail
Short-crested Coquette
Rufous-crested Coquette
Black-crested Coquette
White-crested Coquette
Greenish Puffleg
Green-crowned Brilliant
Rivoli's Hummingbird
Talamanca Hummingbird
Fiery-throated Hummingbird
Long-billed Starthroat
Plain-capped Starthroat
Green-throated Mountain-gem
Green-breasted Mountain-gem
Amethyst-throated Hummingbird
Blue-throated Hummingbird
White-bellied Mountain-gem
Purple-throated Mountain-gem
White-throated Mountain-gem
Garnet-throated Hummingbird
Bahama Woodstar
Inagua Woodstar
Magenta-throated Woodstar
Purple-throated Woodstar
Slender Sheartail
Mexican Sheartail
Sparkling-tailed Hummingbird
Lucifer Hummingbird
Beautiful Hummingbird
Ruby-throated Hummingbird
Black-chinned Hummingbird
Vervain Hummingbird
Bee Hummingbird
Anna's Hummingbird
Costa's Hummingbird
Bumblebee Hummingbird
Wine-throated Hummingbird
Broad-tailed Hummingbird
Rufous Hummingbird
Allen's Hummingbird
Volcano Hummingbird
Glow-throated Hummingbird
Scintillant Hummingbird
Calliope Hummingbird
Golden-crowned Emerald
Cozumel Emerald
Canivet's Emerald
Garden Emerald
Cuban Emerald
Brace's Emerald
Hispaniolan Emerald
Puerto Rican Emerald
Dusky Hummingbird
Broad-billed Hummingbird
Blue-headed Hummingbird
Violet-headed Hummingbird
Emerald-chinned Hummingbird
Antillean Crested Hummingbird
Scaly-breasted Hummingbird
Wedge-tailed Sabrewing
Long-tailed Sabrewing
Rufous Sabrewing
Violet Sabrewing
Stripe-tailed Hummingbird
Blue-capped Hummingbird
White-tailed Hummingbird
Black-bellied Hummingbird
White-tailed Emerald
Coppery-headed Emerald
Snowcap
White-vented Plumeleteer
Bronze-tailed Plumeleteer
Mexican Woodnymph
Crowned Woodnymph
White-bellied Emerald
Honduran Emerald
Blue-chested Hummingbird
Charming Hummingbird
Mangrove Hummingbird
